Ano,DimUniversidade_idDimUniversidade,DimCurso_idDimCurso,DimArea_idDimArea,QuantidadeVagas,"Inscritos no 1.º ano, pela 1.ª vez, através de todos os regimes","Inscritos no 1.º ano, pela 1.ª vez, através do regime geral de acesso",Inscritos pela 1.ª vez através do regime geral de acesso,"Taxa de ocupação
[Inscritos pela 1.ª vez através do regime geral de acesso / Vagas]",Inscritos pela 1.ª vez através de todos os regimes,Distrito,Concelho
2021,2450,9547,7,20,2,0,0.0,0,21.0,Braga,Vila Nova de Famalicão
2021,2500,8288,4,36,5,4,4.0,0.1111111111111111,5.0,Porto,PORTO
2021,2500,9078,4,198,227,190,194.0,0.9797979797979798,261.0,Porto,PORTO
2021,2500,9081,3,66,17,11,11.0,0.16666666666666666,19.0,Porto,PORTO
2021,2500,9084,9,33,17,15,15.0,0.45454545454545453,17.0,Porto,PORTO
2021,2500,9104,7,45,10,8,8.0,0.17777777777777778,11.0,Porto,PORTO
2021,2500,9119,7,45,29,18,18.0,0.4,29.0,Porto,PORTO
2021,2500,9147,4,200,182,165,169.0,0.845,193.0,Porto,PORTO
2021,2500,9185,6,43,4,0,1.0,0.023255813953488372,5.0,Porto,PORTO
2021,2500,9205,4,36,36,33,36.0,1,39.0,Porto,PORTO
2021,2500,9219,3,63,79,61,64.0,1.0158730158730158,86.0,Porto,PORTO
2021,2500,9229,3,44,47,38,40.0,0.9090909090909091,53.0,Porto,PORTO
2021,2500,9242,4,55,19,19,19.0,0.34545454545454546,20.0,Porto,PORTO
2021,2500,9254,10,36,12,10,10.0,0.2777777777777778,13.0,Porto,PORTO
2021,2500,9507,7,31,83,3,3.0,0.0967741935483871,94.0,Porto,PORTO
2021,2500,L105,4,44,2,2,3.0,0.06818181818181818,3.0,Porto,PORTO
2021,2500,L182,2,11,4,0,0.0,0,4.0,Porto,PORTO
2021,2710,9096,7,40,0,0,0.0,0,0.0,Lisboa,Oeiras
2021,2710,9123,7,39,11,2,2.0,0.05128205128205128,12.0,Lisboa,Oeiras
2021,2710,9147,4,44,39,12,12.0,0.2727272727272727,39.0,Lisboa,Oeiras
2021,2710,9159,6,33,16,1,1.0,0.030303030303030304,16.0,Lisboa,Oeiras
2021,2710,9170,4,33,8,0,0.0,0,8.0,Lisboa,Oeiras
